study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
vase,,0,0,0,0,,,,,24.84466289996635,24.84466289996635,1.9947916666666667,3.0551394999492913,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
belt,,0,1,1,13,,,,,27.899748499970883,27.899748499970883,1,1.9414378999499604,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
blanket,,0,2,2,5,,,,,29.867684399941936,29.867684399941936,1,1.075106400065124,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
cushion,,0,3,3,3,,,,,30.971040899981745,30.971040899981745,1,1.041444499976933,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
plate ,,0,4,4,14,,,,,32.03146549989469,32.03146549989469,1,1.7760092000244185,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
light,,0,5,5,7,,,,,33.837064099963754,33.837064099963754,1,1.388037299970165,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
lotion,,0,6,6,11,,,,,35.24678699998185,35.24678699998185,2.0052083333333335,1.8944691999349743,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
cabinet,,0,7,7,9,,,,,37.16708149993792,37.16708149993792,1.9427083333333333,1.9601378999650478,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
mobile,,0,8,8,12,,,,,39.150966199929826,39.150966199929826,1.03125,1.5884267999790609,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
frame,,0,9,9,8,,,,,40.76533689990174,40.76533689990174,1.9895833333333333,1.7917784000746906,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
piano,,0,10,10,4,,,,,42.57989319995977,42.57989319995977,1.0364583333333333,1.4440788999199867,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
tiger,,0,11,11,1,,,,,44.04538959998172,44.04538959998172,2.0,2.011360500007868,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
charger,,0,12,12,6,,,,,46.0800180999795,46.0800180999795,1.0260416666666667,1.6435645000310615,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
book ,,0,13,13,2,,,,,47.746564099914394,47.746564099914394,1.96875,1.9433563000056893,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
curtain,,0,14,14,10,,,,,49.713918399997056,49.713918399997056,1.96875,1.2766204999061301,,,,,,,,,,,,,,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,c_s_i_n,,,,,0,0,0,3,,,,,51.02247699990403,51.02247699990403,51.02247699990403,0.01279209996573627,"cushion
","[-0.07421875, -0.0078125]","[-0.14192708333333334, -0.2942708333333333]","[1, 1]","[0, 0]","[0, 0]","[7.950982499984093, 9.351147399982437]",['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,_e_a_,,,,,0,1,1,29,,,,,60.378355099936016,60.378355099936016,60.378355099936016,0.00579299998935312,,[],[],[],[],[],[],[],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,_a_e,,,,,0,2,2,0,,,,,70.39458639989607,70.39458639989607,70.39458639989607,0.019430699991062284,vase,[-0.0078125],[-0.2942708333333333],[1],[0],[0],[2.9935132999671623],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,_oo_,,,,,0,3,3,2,,,,,73.39284159999806,73.39284159999806,73.39284159999806,0.004802100011147559,book,[-0.032552083333333336],[-0.28515625],[1],[0],[0],[3.4769943000283092],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,_ia_n_,,,,,0,4,4,4,,,,,76.87651009997353,76.87651009997353,76.87651009997353,0.005611400003544986,piano,[-0.028645833333333332],[-0.3138020833333333],[1],[0],[0],[5.042386300046928],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,c_b_n_t,,,,,0,5,5,14,,,,,81.93145789997652,81.93145789997652,81.93145789997652,0.007737899897620082,cabinet,[-0.026041666666666668],[-0.3072916666666667],[1],[0],[0],[4.421562000061385],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,_e_t,,,,,0,6,6,18,,,,,86.35854899999686,86.35854899999686,86.35854899999686,0.004788100020959973,belt,[-0.028645833333333332],[-0.30078125],[1],[0],[0],[4.7603448000736535],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
,c_m_r_,,,,,0,7,7,6,,,,,91.12509329989552,91.12509329989552,91.12509329989552,0.004132499918341637,camera,[-0.022135416666666668],[-0.3072916666666667],[1],[0],[0],[3.061007700045593],['text_3'],,,,,938667,001,2022-10-20_23h11.04.551,Tutorial05,2022.2.2,59.99987998535648,
